id,longitude,latitude,elevation,x,y,z
JCC,-124.029549,40.817451,27.2,335.014017335529,-512.617852217648,-0.0272
MILL,-124.04106,41.70532,560.5,329.54060087551244,-414.0251645146082,-0.5605
PETL,-124.34259,40.28844,49.6,311.0372169431818,-572.5319133092955,-0.0496
PRDS,-124.04458,40.10561,786.5,337.29363745712544,-591.7505726315345,-0.7865
RBOW,-124.11136,40.33467,1100.0,330.4807152301908,-566.5577801822411,-1.1
SIGP,-124.06781,41.87266,547.6,326.461936839675,-395.53610143586644,-0.5476
WLKR,-124.32226,40.3629,274.9,312.42249575108144,-564.1893390047009,-0.2749
KCO,-124.265984,40.256748,892.0,317.70204441006734,-575.7800544093841,-0.892
KCT,-124.337486,40.475567,378.0,310.60935881341067,-551.7281293552704,-0.378
KMPB,-124.120758,40.417194,938.0,329.2791335512113,-557.4258650935918,-0.938
KPR,-124.05732,40.2196,450.0,335.64409152638166,-579.1366299538306,-0.45
KRP,-124.0233,41.157654,813.0,333.81813568296485,-474.8003085273608,-0.813
KSM,-124.175621,40.186855,962.0,325.72742759253583,-583.2155217016307,-0.962
AXAS1,-129.999235,45.933555,-1534.0,-155.05162786038488,50.13192546651878,1.534
AXAS2,-130.014094,45.933782,-1545.0,-156.2033723323387,50.18616780383807,1.545
AXBA1,-129.736709,45.820176,-2607.2,-134.9657926081997,37.05301899095255,2.6071999999999997
AXCC1,-130.008979,45.954683,-1527.0,-155.74811945130045,52.49926232196012,1.527
AXEC1,-129.9797,45.949577,-1512.0,-153.49236467131453,51.8749256132338,1.512
AXEC2,-129.973776,45.939671,-1519.0,-153.0603336145972,50.76249847000455,1.519
AXEC3,-129.978545,45.93607,-1516.0,-153.44008618705394,50.37142407181417,1.516
AXID1,-129.978031,45.92572,-1527.5,-153.42877148336734,49.22005393588787,1.5275
HYS11,-125.152499,44.573029,-818.0,226.17915427953557,-99.07048408735508,0.818
HYS12,-125.143917,44.573195,-788.0,226.8601920908312,-99.02820508025331,0.788
HYS13,-125.144196,44.567411,-790.0,226.8605322769811,-99.67173149030198,0.79
HYS14,-125.1479,44.569157,-775.0,226.55950506451097,-99.4879999986986,0.775
HYSB1,-125.405258,44.509791,-2908.0,206.32546423952562,-106.76749107249577,2.908
B046,-124.284302,40.321972,44.0,315.8388716363962,-568.6006391826935,-0.044
B047,-124.169848,40.249933,80.0,325.916348959575,-576.1875621979588,-0.08
B932,-124.221199,40.275002,52.0,321.4268473189095,-573.5906948133703,-0.052
PPCQL,-124.199997,43.176998,14.0,308.9797250648228,-251.1130037067391,-0.014
CHUCK,-124.19801,42.01027,126.34,314.9715235408466,-380.73564322182574,-0.12634
DING,-124.05399,42.86189,100.0,322.5005241740797,-285.5751212757528,-0.1
HBUG,-124.37943,42.64079,387.67,296.95524459817887,-311.33709809926097,-0.38767
KBO,-124.225983,42.212357,1010.0,311.6606356109045,-358.38649149217565,-1.01
KEB,-124.334251,42.872211,846.0,299.5428587991283,-285.4649937318533,-0.846
PISTL,-124.34882,42.31172,647.64,301.04156330063637,-347.78955702156264,-0.64764
REDMO,-124.30006,42.12327,528.39,305.9721315280187,-368.55251795787126,-0.52839
GIGA,-124.07024,46.80299,98.7,299.96404560475423,152.33780175032862,-0.0987
JEDS,-124.04905,43.75157,159.5,318.22118769097,-186.69980168320217,-0.1595
